LDGS_NM,LDGS_ADDR,LDGS_ROAD_NM_ADDR,GSRM_SCALE_CN,LDGS_GRAD_VALUE,LDGMNT_TY_NM,LDGS_AVRG_PRC,LDGS_MIN_PRC,LDGS_MXMM_PRC,LDGS_AVRG_SCORE_CO,위도,경도
소노벨 비발디파크 b c 구 오크 파인,강원,강원 홍천군 서면 한치골길 264,0,성급없음,미분류,273206,113050,727000,9,37.6482244968436,127.685789397041
소노벨 제주,제주,제주특별자치도 제주시 조천읍 신북로 577,200개 이상,성급없음,숙박업(생활),319756,224000,428000,9,33.5410260306975,126.67113074618
소노벨 천안,충남,충남 천안시 동남구 성남면 종합휴양지로 200,200개 이상,성급없음,숙박업(생활),274518,169000,458000,9,36.7573111615896,127.224095773222
소노캄 거제,경남,경남 거제시 일운면 거제대로 2660,0,성급없음,미분류,184531,141250,225767,9,34.8437912579634,128.702942606704
소노캄 고양,경기,경기 고양시 일산동구 태극로 20,200개 이상,5성,관광호텔업,231678,134979,473000,9,37.6619258028574,126.750807663885
소노캄 여수,전남,전남 여수시 오동도로 111,200개 이상,5성,관광호텔업,378006,165035,598000,8,34.7423838360548,127.754414157539
소노캄 제주,제주,제주특별자치도 서귀포시 표선면 일주동로 6347-17,200개 이하,성급없음,숙박업(생활),301387,150194,465000,8,33.3060125889033,126.792894733152
소노휴 양평 구 소노문 양평,경기,경기 양평군 개군면 신내길7번길 55,200개 이상,성급없음,휴양콘도미니엄업,223823,90713,428000,8,37.4692360696255,127.532657828698
송도센트럴파크호텔,인천,인천 연수구 테크노파크로 193,0,성급없음,미분류,177655,93719,350000,8,37.3905141075346,126.637402697571
쉐라톤 그랜드 인천,인천,인천 연수구 컨벤시아대로 153,200개 이상,5성,관광호텔업,359830,242000,580800,8,37.3902250644638,126.645426431439
스위트 호텔 남원,전북,전북 남원시 주천면 원천로 217,100개 이하,4성,관광호텔업,373130,24000,974000,9,35.4081371445415,127.414454303596
스카이베이경포,강원,강원 강릉시 해안로 476,0,성급없음,미분류,384677,99000,946000,9,37.8042300217641,128.907821914968
시그니엘 부산,부산,부산 해운대구 달맞이길 30,200개 이상,5성,관광호텔업,699166,190000,992200,9,35.1613327099223,129.168013841974
신라스테이 삼성,서울,서울 강남구 영동대로 506,200개 이상,3성,관광호텔업,262229,139000,990000,9,37.5099098998109,127.0631778346
신라스테이 서대문,서울,서울 서대문구 충정로 76,200개 이상,3성,관광호텔업,193264,109021,478500,8,37.5653581996984,126.964770918721
신라스테이 울산,울산,울산광역시 남구 삼산로 200,200개 이상,3성,관광호텔업,125650,50000,659500,9,35.5374088955004,129.329147681081
