Name,Category,Score,Review_Num,Link,Addr,ADDR_area
스시마츠,restaurant,3.5,129,https://place.map.kakao.com/320679178,"충남 홍성군 홍북읍 청사로174번길 25 성원타워 2층 201,202호(지번) 홍북읍 신경리 553",충청
정가네포차,restaurant,3.7,93,https://place.map.kakao.com/15527020,충남 천안시 동남구 풍세로 769-21(지번) 용곡동 116-95,충청
대구뭉티기,restaurant,4.6,125,https://place.map.kakao.com/1568725265,충남 천안시 서북구 성정공원6길 51 1층(지번) 성정동 1382,충청
원풍식당,restaurant,4.0,134,https://place.map.kakao.com/8024947,충남 태안군 원북면 원이로 841-1 1층(지번) 원북면 반계리 202-12,충청
산마루가든,restaurant,4.5,91,https://place.map.kakao.com/9112858,충남 예산군 대흥면 예당긍모로 406(지번) 대흥면 노동리 140-6,충청
희미한 옛사랑의 그림자,restaurant,5.0,14,https://place.map.kakao.com/10047116,충남 천안시 서북구 원두정5길 12 1층(지번) 두정동 819-2,충청
프리퍼팩토리,cafe,4.6,371,https://place.map.kakao.com/1201906051,충남 천안시 동남구 목천읍 종합휴양지로 77(지번) 목천읍 운전리 434,충청
카페다솔,cafe,4.2,30,https://place.map.kakao.com/1835343214,충남 서산시 운산면 봉운로 951-125 서해안청소년수련원(지번) 운산면 원평리 394,충청
봉명족발,restaurant,4.8,19,https://place.map.kakao.com/18812536,충남 천안시 서북구 성정로 53 녹산주상빌딩 1층 102호(지번) 성정동 725-11,충청
엔학고레,cafe,3.6,389,https://place.map.kakao.com/763376396,충남 공주시 반포면 불장골길 113-12(지번) 반포면 송곡리 454-4,충청
황토집사람들,restaurant,4.2,361,https://place.map.kakao.com/10958644,충남 금산군 진산면 태고사로 444 1층(지번) 진산면 두지리 296-16,충청
시아반,restaurant,4.5,158,https://place.map.kakao.com/623082685,충남 천안시 서북구 불당30길 24 1층 102호(지번) 불당동 1788,충청
송돈가 청당점,restaurant,4.6,41,https://place.map.kakao.com/583017347,충남 천안시 동남구 청수12로 12 1층(지번) 청당동 895,충청
카페이숲,cafe,3.8,1140,https://place.map.kakao.com/1885767570,충남 천안시 서북구 성거읍 남창마을1길 32 1층(지번) 성거읍 송남리 133-1,충청
숲속의문,cafe,5.0,91,https://place.map.kakao.com/432996016,충남 천안시 동남구 양지말2길 61 1-3층(지번) 유량동 82-8,충청
옛날우렁이식당 당진3호점,restaurant,4.3,129,https://place.map.kakao.com/16857859,충남 당진시 무수동1길 25-13(지번) 읍내동 1106,충청
의평식당,restaurant,3.8,5,https://place.map.kakao.com/10665844,충남 보령시 중앙시장1길 11(지번) 대천동 331-7,충청
유얼스,cafe,4.6,117,https://place.map.kakao.com/1353969404,충남 천안시 서북구 불당31길 37(지번) 불당동 1654,충청
냉면만허유,restaurant,4.0,7,https://place.map.kakao.com/11433016,충남 서산시 부석면 취평2길 15-10 1층(지번) 부석면 취평리 257-18,충청
소담,restaurant,5.0,7,https://place.map.kakao.com/21254041,충남 홍성군 홍성읍 문화로85번길 46-2 1층(지번) 홍성읍 오관리 572-2,충청
숯불닭갈비전문점굽다 천안두정점,restaurant,5.0,32,https://place.map.kakao.com/84735193,충남 천안시 서북구 두정로 229(지번) 두정동 1506-1,충청
